Personen;uuid
Alexander van der Bellen;9b275d9c-04a6-4c7b-97a3-8db7d32e046b
Alfons Haider;ff2cf4c4-0115-4a3a-92d9-7780748fcc6d
Andreas Schieder;ea5e6991-0399-4752-99c8-1525e0f7c472
Angela Merkel;53700d68-6114-4741-a94b-24ae175b0808
Anja Plaschg;18919e0e-70c2-4965-9c26-743aff882d47
Anna Veith;2cd0dcfe-a292-4667-8b78-b3e832203b85
Barack Obama;04a1a98c-4bbb-4e28-b432-fb88c6c84916
Beate Hartinger-Klein;3af3a002-e028-4a93-892d-d655e00519ed
Birgit Hebein;94103f36-977f-4e0b-892c-298b5ce591c1
Boris Johnson;9bea84a1-9f56-4151-938c-400783e71f3b
Brigitte Bierlein;70c09065-2350-46ae-9b52-7d9e01094e04
Christiane von Poelnitz;8fc5dc09-0ccd-4c83-a8dc-fc9f2f441ad8
Christian Kern;fedadbb2-5f26-4770-8e06-2b2db7ddc9a6
Christian Pilnacek;46eb4a7c-bdd1-43ef-91dd-4d74d4fcd31a
Conchita Wurst;457071cd-82fe-4125-bb99-624d1aba3c9b
Cornelius Obonya;4785ce56-7d90-48b1-b6ae-5daed0262235
David Ellensohn;dae237c8-341a-48ca-b5be-d560059fe1a1
David Hasselhoff;e85f563e-8674-4a45-8761-b066ed2e913f
Donald Trump;03f56bb5-7ac5-4e67-b050-9f4c3134c133
Donald Tusk;50d3ef78-3b3a-4368-a65b-33e48093f1b2
Doris Bures;4476ce0e-7bf0-4926-9649-6b5f8a84ccb8
Elisabeth Koestinger;b5aad38e-7873-49f8-a302-95b9bd0470ba
Emmanuel Macron;ea6f5d04-4100-4f87-b37b-22e2a29731bf
Ernst Strasser;5b00039a-aa99-4bb6-8e47-a9983d260144
Erwin Proell;b68c5d67-1c98-4aba-83d6-1d65523195e8
Eva Glawischnig;784f3bdb-4c8a-421d-95f6-da94448cb3a0
Frank-Walter Steinmeier;87413a00-b21f-4f58-8b54-c5b29e11465d
Gabriele Heinisch-Hosek;0ec9e51a-98cf-4864-9df2-27f31b40a366
Gerhard Haderer;725bd6a5-a240-4096-9456-2f0b28e423a0
Gregor Bloeb;f1bc85c6-2c6c-4cd2-9353-a2e3c5b743e3
Greta Thunberg;5461cbdd-760a-4508-8d53-2c3fd119a439
